First,Year,Authors,,,,,,,,,
Lisi,2014,"Lisi, O. and D'Urso, V. and Vaccalluzzo, V. and Bongiorno, G. and Khoury, C. and Severini, F. and Di Muccio, T. and Gramiccia, M. and Gradoni, L. and Maroli, M.",,,,,,,,,
Lisulo,2014,"Lisulo, M. and Sugimoto, C. and Kajino, K. and Hayashida, K. and Mudenda, M. and Moonga, L. and Ndebe, J. and Nzala, S. and Namangala, B.",,,,,,,,,
Liyanagunawardena,2016,"Liyanagunawardena, N. and Sivakumar, T. and Kothalawala, H. and Silva, S. S. P. and Battsetseg, B. and Lan, D. T. B. and Inoue, N. and Igarashi, I. and Yokoyama, N.",,,,,,,,,
Lledo,2015,"Lledo, L. and Gimenez-Pardo, C. and Saz, J. V. and Serrano, J. L.",,,,,,,,,
Llorens-Picher,2017,"Llorens-Picher, M. and Higes, M. and Martin-Hern and ez, R. and De la Rua, P. and Munoz, I. and Aidoo, K. and Bempong, E. O. and Polkuraf, F. and Meana, A.",,,,,,,,,
Lopes,2017,"Lopes, A. P. and Oliveira, A. C. and Granada, S. and Rodrigues, F. T. and Papadopoulos, E. and Schallig, H. and Dubey, J. P. and Cardoso, L.",,,,,,,,,
Lopes,2013,"Lopes, A. P. and Sousa, S. and Dubey, J. P. and Ribeiro, A. J. and Silvestre, R. and Cotovio, M. and Schallig, Hdfh and Cardoso, L. and Cordeiro-da-Silva, A.",,,,,,,,,
Lopes,Na,"Lopes, J. V. and Michalsky, E. M. and Pereira, N. C. L. and de Paula, A. J. V. and Lara-Silva, F. O. and Silva-Lana, R. and Fortes-Dias, C. L. and Pinheiro, L. C. and Dias, E. S.",,,,,,,,,
Lopes,2014,"Lopes, P. M. and Sorte, E. D. B. and Gasparetto, N. D. and Oliveira, C. M. and de Almeida, Adpf and Sousa, V. R. F.",,,,,,,,,
Lopez,2013,"Lopez, J. and Wey, T. W. and Blumstein, D. T.",,,,,,,,,
Lopez-Cespedes,2013,"Lopez-Cespedes, A. and Longoni, S. S. and Sauri-Arceo, C. H. and Rodriguez-Vivas, R. I. and Villegas, N. and Escobedo-Ortegon, J. and Barrera-Perez, M. A. and Sanchez-Moreno, M. and Gonzalez, M. E. B. and Marin, C.",,,,,,,,,
Lopez-Cespedes,2012,"Lopez-Cespedes, A. and Longoni, S. S. and Sauri-Arceo, C. H. and Sanchez-Moreno, M. and Rodriguez-Vivas, R. I. and Escobedo-Ortegon, F. J. and Barrera-Perez, M. A. and Bolio-Gonzalez, M. E. and Marin, C.",,,,,,,,,
Machila,2001,"Machila, N. and Sinyangwe, L. and Mubanga, J. and Hopkins, J. S. and Robinson, T. and Eisler, M. C.",,,,,,,,,
Maeda,2012,"Maeda, M. H. and Knox, M. B. and Gurgel-Goncalves, R.",,,,,,,,,
Maffey,2012,"Maffey, L. and Cardinal, M. V. and Ordonez-Krasnowski, P. C. and Lanati, L. A. and Lauricella, M. A. and Schijman, A. G. and Gurtler, R. E.",,,,,,,,,
Magallon-Gastelum,2006,"Magallon-Gastelum, E. and Lozano-Kasten, F. and Gutierrez, M. S. and Flores-Perez, A. and Sanchez, B. and Espinoza, B. and Bosseno, M. F. and Breniere, S. F.",,,,,,,,,
Maganga,2017,"Maganga, G. D. and Mavoungou, J. F. and N'Dilimabaka, N. and Kinga, I. C. M. and Mve-Ondo, B. and Mombo, I. M. and Ngoubangoye, B. and Cossic, B. and Okouyi, C. S. M. and Souza, A. and Leroy, E. M. and Kumulungui, B. and Ollomo, B.",,,,,,,,,
Magona,2002,"Magona, J. W. and Mayende, J. S. P. and Walubengo, J.",,,,,,,,,
Maharana,2019,"Maharana, B. R. and Kumar, B. and Joseph, J. P. and Patb and ha, T. K.",,,,,,,,,
Maharana,Na,"Maharana, B. R. and Kumar, B. and Prasad, A. and Patb and ha, T. K. and Sudhakar, N. R. and Joseph, J. P. and Patel, B. R.",,,,,,,,,
Maharjan,2006,"Maharjan, M. and Mishra, D. R. and Blouin, E. F. and Maillard, J. C.",,,,,,,,,
Mahmoudv and ,2011,"Mahmoudv and , H. and Mohebali, M. and Sharifi, I. and Keshavarz, H. and Hajjarani, H. and Akhoundi, B. and Jahanbakhsh, S. and Zarean, M. and Javadi, A.",,,,,,,,,
Maia,2016,"Maia, C. and Altet, L. and Serrano, L. and Cristovao, J. M. and Tabar, M. D. and Francino, O. and Cardoso, L. and Campino, L. and Roura, X.",,,,,,,,,
Maia,2015,"Maia, C. and Coimbra, M. and Ramos, C. and Cristovao, J. M. and Cardoso, L. and Campino, L.",,,,,,,,,
Maia,2010,"Maia, C. and Gomes, J. and Cristovao, J. and Nunes, M. and Martins, A. and Rebelo, E. and Campino, L.",,,,,,,,,
Maia,2014,"Maia, C. and Ramos, C. and Coimbra, M. and Bastos, F. and Martins, A. and Pinto, P. and Nunes, M. and Vieira, M. L. and Cardoso, L. and Campino, L.",,,,,,,,,
Maia,2015,"Maia, C. and Ramos, C. and Coimbra, M. and Cardoso, L. and Campino, L.",,,,,,,,,
Majekodunmi,2013,"Majekodunmi, A. O. and Fajinmi, A. and Dongkum, C. and Picozzi, K. and Thrusfield, M. V. and Welburn, S. C.",,,,,,,,,
Malele,2011,"Malele, II and Magwisha, H. B. and Nyingilili, H. S. and Mamiro, K. A. and Rukambile, E. J. and Daffa, J. W. and Lyaruu, E. A. and Kapange, L. A. and Kasilagila, G. K. and Lwitiko, N. K. and Msami, H. M. and Kimbita, E. N.",,,,,,,,,
Malele,2003,"Malele, I. and Craske, L. and Knight, C. and Ferris, V. and Njiru, Z. and Hamilton, P. and Lehane, S. and Lehane, M. and Gibson, W.",,,,,,,,,
Malfi,2014,"Malfi, R. L. and Roulston, T. H.",,,,,,,,,
Maloney,2010,"Maloney, J. and Newsome, A. and Huang, J. J. and Kirby, J. and Kranz, M. and Wateska, A. and Dunlap, B. and Yabsley, M. J. and Dunn, J. R. and Jones, T. F. and Moncayo, A. C.",,,,,,,,,
Maloo,2001,"Maloo, S. H. and Thorpe, W. and Kioo, G. and Ngumi, P. and Rowl and s, G. J. and Perry, B. D.",,,,,,,,,
Mamoudou,2016,"Mamoudou, A. and Njanloga, A. and Hayatou, A. and Suh, P. F. and Achukwi, M. D.",,,,,,,,,
Mamoudou,2006,"Mamoudou, A. and Zoli, A. and Mbahin, N. and Tanenbe, C. and Bourdanne and Clausen, P. H. and Marcotty, T. and Van den Bossche, P. and Geerts, S.",,,,,,,,,
Mancianti,1994,"Mancianti, F. and Mignone, W. and Galastri, F.",,,,,,,,,
Manlik,2017,"Manlik, O. and Schmid-Hempel, R. and Schmid-Hempel, P.",,,,,,,,,
Manzillo,2018,"Manzillo, V. F. and Gizzarelli, M. and Vitale, F. and Montagnaro, S. and Torina, A. and Sotera, S. and Oliva, G.",,,,,,,,,
Marcelino,2011,"Marcelino, A. P. and Ferreira, E. C. and Avendanha, J. S. and Costa, C. F. and Chiarelli, D. and Almeida, G. and Moreira, E. C. and Leite, R. C. and dos Reis, J. K. P. and Gontijo, C. M. F.",,,,,,,,,
Marenzoni,2018,"Marenzoni, M. L. and Lauzi, S. and Miglio, A. and Coletti, M. and Arbia, A. and Paltrinieri, S. and Antognoni, M. T.",,,,,,,,,
Margonari,2010,"Margonari, C. and Soares, R. P. and Andrade, J. D. and Xavier, D. C. and Saraiva, L. and Fonseca, A. L. and Silva, R. A. and Oliveira, M. E. and Borges, E. C. and Sanguinette, C. C. and Melo, M. N.",,,,,,,,,
Marti,2009,"Marti, G. A. and Echeverria, M. G. and Susevich, M. L. and Becnel, J. J. and Pelizza, S. A. and García, J. J.",,,,,,,,,
Martin-Sanchez,2007,"Martin-Sanchez, J. and Acedo, C. and Munoz-Perez, M. and Pesson, B. and Marchal, O. and Morillas-Marquez, F.",,,,,,,,,
Martin-Sanchez,2006,"Martin-Sanchez, J. and Gallego, M. and Baron, S. and Castillejo, S. and Morillas-Marquez, F.",,,,,,,,,
Martinez-Hern and ez,2014,"Martinez-Hern and ez, F. and Rendon-Franco, E. and Gama-Campillo, L. M. and Villanueva-Garcia, C. and Romero-Valdovinos, M. and Maravilla, P. and Alej and re-Aguilar, R. and Rivas, N. and Cordoba-Aguilar, A. and Munoz-Garcia, C. I. and Villalobos, G.",,,,,,,,,
Martins,2018,"Martins, M. F. D. and Pereira, M. B. and Ferreira, J. D. G. and Franca, A. D. and Cominetti, M. C. and Ferreira, E. D. and Dorval, Memc and Rossi, C. L. and Mazon, S. D. and de Almeida, E. A. and Costa, S. C. B. and Marcon, G. E. B.",,,,,,,,,
Mascolli,2016,"Mascolli, R. and Soto, F. R. M. and Pinheiro, S. R. and Ito, F. H. and Gil, A. and de Azevedo, S. S. and de Lima, V. M. F. and Langoni, H. and Fern and es, A. R. D. and Vasconcellos, S. A.",,,,,,,,,
Masiga,2002,"Masiga, D. K. and Okech, G. and Irungu, P. and Ouma, J. and Wekesa, S. and Ouma, B. and Guya, S. O. and Ndung'u, J. M.",,,,,,,,,
Maslov,2013,"Maslov, D. A. and Votypka, J. and Yurchenko, V. and Lukes, J.",,,,,,,,,
Maslov,2007,"Maslov, D. A. and Westenberger, S. J. and Xu, X. and Campbell, D. A. and Sturm, N. R.",,,,,,,,,
Matete,2003,"Matete, G. O.",,,,,,,,,
Mattioli,2001,"Mattioli, R. C. and Faye, J. A. and Jaitner, J.",,,,,,,,,
Maziero,2014,"Maziero, N. and Thomaz-Soccol, V. and Steindel, M. and Link, J. S. and Rossini, D. and Alban, S. M. and Nascirnentoe, A. J.",,,,,,,,,
McHugh,2016,"McHugh, K. J. and Weyl, O. L. F. and Smit, N. J.",,,,,,,,,
Medina-Torres,2010,"Medina-Torres, I. and Vazquez-Chagoyan, J. C. and Rodriguez-Vivas, R. I. and de Oca-Jimenez, R. M.",,,,,,,,,
Medkour,2019,"Medkour, H. and Davoust, B. and Dulieu, F. and Maurizi, L. and Lamour, T. and Marie, J. L. and Mediannikov, O.",,,,,,,,,
Medkour,2019,"Medkour, H. and Davoust, B. and Levasseur, A. and Mediannikov, O.",,,,,,,,,
Mejia-Jaramillo,2014,"Mejia-Jaramillo, A. M. and Agudelo-Uribe, L. A. and Dib, J. C. and Ortiz, S. and Solari, A. and Triana-Chavez, O.",,,,,,,,,
Mekata,2008,"Mekata, H. and Konnai, S. and Simuunza, M. and Chembensofu, M. and Kano, R. and Witola, W. H. and Tembo, M. E. and Chitambo, H. and Inoue, N. and Onuma, M. and Ohashi, K.",,,,,,,,,
Mekata,2009,"Mekata, H. and Konnai, S. and Witola, W. H. and Inoue, N. and Onuma, M. and Ohashi, K.",,,,,,,,,
Mekibib,2010,"Mekibib, B. and Manegerew, M. and Tadesse, A. and Abuna, F. and Megersa, B. and Regassa, A. and Mekuria, S. and Abebe, R.",,,,,,,,,
Mekonnen,2014,"Mekonnen, B. and Regassa, V. and Kahsay, A. G.",,,,,,,,,
Mekuria,2010,"Mekuria, S. and Eyob, A. and Regassa, A. and Tadesse, A. and Mekibib, B. and Abebe, R.",,,,,,,,,
Melo,2011,"Melo, S. D. and Barros, A. C. E. and Costa, F. B. and Neta, A. V. D. and Guerra, Rdnd and Abreu-Silva, A. L.",,,,,,,,,
Melo,2018,"Melo, S. N. and Teixeira-Neto, R. G. and Werneck, G. L. and Struchiner, C. J. and Ribeiro, R. A. N. and Sousa, L. R. and de Melo, M. O. G. and Carvalho, C. G. and Penaforte, K. M. and Manhani, M. N. and Aquino, V. V. and Silva, E. S. and Belo, V. S.",,,,,,,,,
Menail,2016,"Menail, A. H. and Piot, N. and Meeus, I. and Smagghe, G. and Loucif-Ayad, W.",,,,,,,,,
Mendes,2013,"Mendes, R. S. and Santana, V. L. and Jansen, A. M. and Cristina, S. and Xavier, C. and Vidal, I. F. and Rotondano, T. E. F. and Souza, A. P.",,,,,,,,,
Menezes,2015,"Menezes, J. A. and Ferreira, E. D. and Andrade, J. D. and de Sousa, A. M. and Morais, M. H. G. and Rocha, A. M. S. and Machado-Coelho, G. L. L. and Lima, F. P. and Madureira, A. P. and Garcia, T. C. and Freitas, C. R. and Soares, R. P. and Margonari, C.",,,,,,,,,
Merzlyak,2001,"Merzlyak, E. and Yurchenko, V. and Kolesnikov, A. A. and Alex and rov, K. and Podlipaev, S. A. and Maslov, D. A.",,,,,,,,,
Meyers,2017,"Meyers, A. C. and Meinders, M. and Hamer, S. A.",,,,,,,,,
Michalsky,2011,"Michalsky, E. M. and Guedes, K. D. and Silva, Fdle and Franca-Silva, J. C. and Dias, C. L. F. and Barata, R. A. and Dias, E. S.",,,,,,,,,
Mihret,2007,"Mihret, A. and Mamo, G.",,,,,,,,,
Millan,2018,"Millan, J.",,,,,,,,,
Mir and a,2002,"Mir and a, J. C. and Reis, E. and Schriefer, A. and Goncalves, M. and Reis, M. G. R. and Carvalho, L. and Fern and es, O. and Barral-Netto, M. and Barral, A.",,,,,,,,,
Miro,2011,"Miro, G. and Hern and ez, L. and Montoya, A. and Arranz-Solis, D. and Dado, D. and Rojo-Montejo, S. and Mendoza-Ibarra, J. A. and Ortega-Mora, L. M. and Pedraza-Diaz, S.",,,,,,,,,
Miro,2007,"Miro, G. and Montoya, A. and Mateo, M. and Alonso, A. and Garcia, S. and Garcia, A. and Caballero, M. J. and Molina, R.",,,,,,,,,
Mirzaei,2011,"Mirzaei, A. and Rouhani, S. and Taherkhani, H. and Farahm and , M. and Kazemi, B. and Hedayati, M. and Baghaei, A. and Davari, B. and Parvizi, P.",,,,,,,,,
Mochabo,2005,"Mochabo, K. O. M. and Kitala, P. M. and Gathura, P. B. and Ogara, W. O. and Catley, A. and Eregae, E. M. and Kaitho, T. D.",,,,,,,,,
Moemenbellah-Fard,2003,"Moemenbellah-Fard, M. D. and Kalantari, M. and Rassi, Y. and Javadian, E.",,,,,,,,,
Mohebali,2005,"Mohebali, M. and Hajjaran, H. and Hamzavi, Y. and Mobedi, I. and Arshi, S. and Zarei, Z. and Akhoundi, B. and Naeini, K. M. and Avizeh, R. and Fakhar, M.",,,,,,,,,
Molina,2000,"Molina, J. M. and Ruiz, A. and Juste, M. C. and Corbera, J. A. and Amador, R. and Gutierrez, C.",,,,,,,,,
Molina,2016,"Molina, J. P. and Madi, R. R. and Solferini, V. N. and Ceccarelli, P. S. and Pinheiro, H. P. and Ueta, M. T.",,,,,,,,,
Molina-Garza,2007,"Molina-Garza, Z. J. and Rosales-Encina, J. L. and Galaviz-Silva, L. and Molina-Garza, D.",,,,,,,,,
Monroy,2003,"Monroy, C. and Rodas, A. and Mejia, M. and Rosales, R. and Tabaru, Y.",,,,,,,,,
Monteiro,2005,"Monteiro, E. M. and da Silva, J. C. F. and da Costa, R. T. and Costa, D. C. and Barata, R. A. and de Paula, E. V. and Machado-Coelho, G. L. L. and Rocha, M. F. and Fortes-Dias, C. L. and Dias, E. S.",,,,,,,,,
Montenegro,2002,"Montenegro, V. M. and Jimenez, M. and Dias, J. C. P. and Zeledon, R.",,,,,,,,,
Moradi-Asl,2019,"Moradi-Asl, E. and Rassi, Y. and Hanafi-Bojd, A. A. and Saghafipour, A.",,,,,,,,,
Morales,2017,"Morales, E. A. and Mayor, P. and Bowler, M. and Aysanoa, E. and Perez-Velez, E. S. and Perez, J. and Ventocilla, J. A. and Baldeviano, G. C. and Lescano, A. G.",,,,,,,,,
Morelli,2019,"Morelli, S. and Crisi, P. E. and Di Cesare, A. and De Santis, F. and Barlaam, A. and Santoprete, G. and Parrinello, C. and Palermo, S. and Mancini, P. and Traversa, D.",,,,,,,,,
Moreno,2014,"Moreno, I. and Álvarez, J. and García, N. and de la Fuente, S. and Martínez, I. and Marino, E. and Toraño, A. and Goyache, J. and Vilas, F. and Domínguez, L. and Domínguez, M.",,,,,,,,,
Moreno,2010,"Moreno, M. L. and Moretti, E. and Basso, B. and Cespedes, M. F. and Catala, S. S. and Gorla, D. E.",,,,,,,,,
Moretti,2011,"Moretti, E. and Castro, I. and Franceschi, C. and Basso, B.",,,,,,,,,
Morganti,2019,"Morganti, G. and Veronesi, F. and Stefanetti, V. and Di Muccio, T. and Fiorentino, E. and Diaferia, M. and Santoro, A. and Passamonti, F. and Gramiccia, M.",,,,,,,,,
Morimoto,2013,"Morimoto, T. and Kojima, Y. and Yoshiyama, M. and Kimura, K. and Yang, B. and Peng, G. D. and Kadowaki, T.",,,,,,,,,
Mossaad,2017,"Mossaad, E. and Salim, B. and Suganuma, K. and Musinguzi, P. and Hassan, M. A. and Elamin, E. A. and Mohammed, G. E. and Bakhiet, A. O. and Xuan, X. N. and Satti, R. A. and Inoue, N.",,,,,,,,,
Mossaad,2017,"Mossaad, E. and Satti, R. A. and Fadul, A. and Suganuma, K. and Salim, B. and Elamin, E. A. and Musinguzi, S. P. and Xuan, X. N. and Inoue, N.",,,,,,,,,
Motazedian,2010,"Motazedian, M. H. and Parhizkari, M. and Mehrabani, D. and Hatam, G. and Asgari, Q.",,,,,,,,,
Moudy,2014,"Moudy, R. M. and Michaels, S. and Jameson, S. B. and Londono, B. and Lopez, V. and Caillouet, K. A. and Hallmark, C. J. and Davis, J. K. and Foppa, I. M. and Dorn, P. L. and Wesson, D. M.",,,,,,,,,
Mouloua,2017,"Mouloua, A. and Boubidi, S. C. and Bouiba, L. and Mezai, G. and Madiou, M. and Harrat, Z.",,,,,,,,,
Movilla,2017,"Movilla, R. and Altet, L. and Serrano, L. and Tabar, M. D. and Roura, X.",,,,,,,,,
Moya,2017,"Moya, S. L. and Giuliani, M. G. and Santini, M. S. and Quintana, M. G. and Salomon, O. D. and Liotta, D. J.",,,,,,,,,
Mrljak,2017,"Mrljak, V. and Kules, J. and Mihaljevic, Z. and Torti, M. and Gotic, J. and Crnogaj, M. and Zivicnjak, T. and Mayer, I. and Smit, I. and Bhide, M. and Rafaj, R. B.",,,,,,,,,
Msangi,1998,"Msangi, A. R. and Whitaker, C. J. and Lehane, M. J.",,,,,,,,,
Muhanguzi,2017,"Muhanguzi, D. and Mugenyi, A. and Bigirwa, G. and Kamusiime, M. and Kitibwa, A. and Akurut, G. G. and Ochwo, S. and Amanyire, W. and Okech, S. G. and Hattendorf, J. and Tweyongyere, R.",,,,,,,,,
Muhanguzi,2014,"Muhanguzi, D. and Picozzi, K. and Hatendorf, J. and Thrusfield, M. and Welburn, S. C. and Kabasa, J. D. and Waiswa, C.",,,,,,,,,
Muhanguzi,2014,"Muhanguzi, D. and Picozzi, K. and Hattendorf, J. and Thrusfield, M. and Kabasa, J. D. and Waiswa, C. and Welburn, S. C.",,,,,,,,,
Mukhtar,2000,"Mukhtar, M. M. and Sharief, A. H. and El Saffi, S. H. and Harith, A. E. and Higazzi, T. B. and Adam, A. M. and Abdalla, H. S.",,,,,,,,,
Murphy,2019,"Murphy, N. and Macchiaverna, N. P. and Cardinal, M. V. and Bhattacharyya, T. and Mertens, P. and Zeippen, N. and Gustin, Y. and Gilleman, Q. and Gurtler, R. E. and Miles, M. A.",,,,,,,,,
Murray,2013,"Murray, T. E. and Coffey, M. F. and Kehoe, E. and Horgan, F. G.",,,,,,,,,
N’Djetchi,Na,"N’Djetchi, M. K. and Ilboudo, H. and Koffi, M. and Kaboré, J. and Kaboré, J. W. and Kaba, D. and Courtin, F. and Coulibaly, B. and Fauret, P. and Kouakou, L. and Ravel, S. and Deborggraeve, S. and Solano, P. and De Meeûs, T. and Bucheton, B. and Jamonneau, V.", B. and Jamonneau, V.,,,,,,,
Nadeem,2011,"Nadeem, A. and Aslam, A. and Chaudhary, Z. I. and Ashraf, K. and Saeed, K. and Ahmad, N. and Ahmed, I. and Rehman, H. U.",,,,,,,,,
Nair,2011,"Nair, A. S. and Ravindran, R. and Lakshmanan, B. and Kumar, S. S. and Tresamol, P. V. and Saseendranath, M. R. and Senthilvel, K. and Rao, J. R. and Tewari, A. K. and Ghosh, S.",,,,,,,,,
Nakayima,2012,"Nakayima, J. and Nakao, R. and Alhassan, A. and Mahama, C. and Afakye, K. and Sugimoto, C.",,,,,,,,,
Nardoni,2019,"Nardoni, S. and Altomonte, I. and Salari, F. and Martini, M. and Mancianti, F.",,,,,,,,,
Nardoni,2012,"Nardoni, S. and Gramiccia, M. and Petragli, R. and Ariti, G. and Papini, R. and Mancianti, F.",,,,,,,,,
Naucke,2011,"Naucke, T. J. and Lorentz, S. and Menn, B. and Mencke, N.",,,,,,,,,
Navea-Perez,2015,"Navea-Perez, H. M. and Diaz-Saez, V. and Corpas-Lopez, V. and Merino-Espinosa, G. and Morillas-Marquez, F. and Martin-Sanchez, J.",,,,,,,,,
Ndoutamia,1999,"Ndoutamia, G. and Brahim, B. O. and Brahim, A. and Djimgang, G. and Saboun, M. and Doutoum, A. A.",,,,,,,,,
Nejjar,1998,"Nejjar, R. and Lemrani, M. and Malki, A. and Ibrahimy, S. and Amarouch, H. and Benslimane, A.",,,,,,,,,
Ngaira,2002,"Ngaira, J. M. and Bett, B. and Karanja, S. M.",,,,,,,,,
Ngaira,2003,"Ngaira, J. M. and Bett, B. and Karanja, S. M. and Njagi, E. N. M.",,,,,,,,,
Ngomtcho,2017,"Ngomtcho, S. C. H. and Weber, J. S. and Bum, E. N. and Gbem, T. T. and Kelm, S. and Achukwi, M. D.",,,,,,,,,
Ngonyoka,2017,"Ngonyoka, A. and Gwakisa, P. S. and Estes, A. B. and Salekwa, L. P. and Nnko, H. J. and Hudson, P. J. and Cattadori, I. M.",,,,,,,,,
Nguema,2019,"Nguema, O. A. M. and Akotet, M. K. B. and Mavoungou, J. F. and Mawili-Mboumba, D. P.",,,,,,,,,
Nguema,2016,"Nguema, O. A. M. and Mawili-Mboumba, D. P. and Chouaibou, M. and Mavoungou, J. and M'Batchi, B. and Akotet, M. K. B.",,,,,,,,,
Nguyen,2013,"Nguyen, Q. D. and Nguyen, T. T. and Pham, Q. P. and Le, N. M. and Nguyen, G. T. T. and Inoue, N.",,,,,,,,,
Nguyen,2015,"Nguyen, T. T. and Motsiri, M. S. and Taioe, M. O. and Mtshali, M. S. and Goto, Y. and Kawazu, S. I. and Thekisoe, O. M. M. and Inoue, N.",,,,,,,,,
Nichols,2019,"Nichols, M. D. and Lord, W. D. and Haynie, M. L. and Brennan, R. E. and Jackson, V. L. and Monterroso, W. S.",,,,,,,,,
Nimpaye,2011,"Nimpaye, H. and Njiokou, F. and Njine, T. and Njitchouang, G. R. and Cuny, G. and Herder, S. and Asonganyi, T. and Simo, G.",,,,,,,,,
Njiokou,2010,"Njiokou, F. and Nimpaye, H. and Simo, G. and Njitchouang, G. R. and Asonganyi, T. and Cuny, G. and Herder, S.",,,,,,,,,
Njiru,2004,"Njiru, Z. K. and Constantine, C. C. and Ndung'u, J. M. and Robertson, I. and Okaye, S. and Thompson, R. C. A. and Reid, S. A.",,,,,,,,,
Noori,2019,"Noori, M. and Rasekh, M. and Ganjali, M. and Nourollahi Fard, S. R.",,,,,,,,,
Northover,2019,"Northover, A. S. and Godfrey, S. S. and Keatley, S. and Lymbery, A. J. and Wayne, A. F. and Cooper, C. and Pallant, L. and Morris, K. and Thompson, R. C. A.",,,,,,,,,
Nunes,2016,"Nunes, J. B. and Laurenti, M. D. and Kanamura, H. Y. and Pereira, A. A. C. and Colombo, F. A. and Marques, M. J.",,,,,,,,,
Nurcahyo,2019,"Nurcahyo, W. and Yowi, M. R. K. and Hartati, S. and Prastowo, J.",,,,,,,,,
Oakgrove,2014,"Oakgrove, K. S. and Harrigan, R. J. and Loiseau, C. and Guers, S. and Seppi, B. and Sehgal, R. N. M.",,,,,,,,,
Ocampo,2012,"Ocampo, C. B. and Ferro, M. C. and Cadena, H. and Gongora, R. and Perez, M. and Valderrama-Ardila, C. H. and Quinnell, R. J. and Alex and er, N.",,,,,,,,,
Odeniran,2019,"Odeniran, P. O. and Macleod, E. T. and Ademola, I. O. and Welburn, S. C.",,,,,,,,,
Odeniran,2019,"Odeniran, P. O. and Macleod, E. T. and Ademola, I. O. and Welburn, S. C.",,,,,,,,,
Odongo,2016,"Odongo, S. and Delespaux, V. and Ngotho, M. and Bekkele, S. M. and Magez, S.",,,,,,,,,
Ohaga,2007,"Ohaga, S. O. and Kokwaro, E. D. and Ndiege, I. O. and Hassanali, A. and Saini, R. K.",,,,,,,,,
Oleaga,2018,"Oleaga, A. and Zanet, S. and Espi, A. and de Macedo, M. R. P. and Gortazar, C. and Fenoglio, E.",,,,,,,,,
Oliveira,2005,"Oliveira, F. S. and Pirmez, C. and Pires, M. Q. and Brazil, R. P. and Pacheco, R. S.",,,,,,,,,
Oliveira,2015,"Oliveira, G. C. and Paiz, L. M. and Menozzi, B. D. and Lima, M. D. and de Moraes, C. C. G. and Langoni, H.",,,,,,,,,
Oliveira,2009,"Oliveira, J. B. and Hern and ez-Gamboa, J. and Jimenez-Alfaro, C. and Zeledon, R. and Bl and on, M. and Urbina, A.",,,,,,,,,
Oliveira,2016,"Oliveira, T. N. A. and Guedes, P. E. B. and Souza, G. B. and Carvalho, F. S. and Alberto Carlos, R. S. and Albuquerque, G. R. and Munhoz, A. D. and Silva, F. L.",,,,,,,,,
Oliveira-Pereira,2006,"Oliveira-Pereira, Y. N. and Rebelo, J. M. M. and Moraes, J. L. P. and Pereira, S. R. F.",,,,,,,,,
Onyekwelu,2017,"Onyekwelu, K. C. and Ejezie, F. E. and Eze, A. A. and Ikekpeazu, J. E. and Isaac, C. and Ibegbu, D. M. and Ogbunude, P. O. J.",,,,,,,,,
Opara,2008,"Opara, M. N. and Fagbemi, B. O. and Sparagano, O. A. E. and Maillard, J. C. and Figueroa, J. V.",,,,,,,,,
Orantes,2018,"Orantes, L. C. and Monroy, C. and Dorn, P. L. and Stevens, L. and Rizzo, D. M. and Morrissey, L. and Hanley, J. P. and Rodas, A. G. and Richards, B. and Wallin, K. F. and Helms Cahan, S.",,,,,,,,,
Orozco,2016,"Orozco, M. M. and Enriquez, G. F. and Cardinal, M. V. and Piccinali, R. V. and Gurtler, R. E.",,,,,,,,,
Oshaghi,2009,"Oshaghi, M. A. and Ravasan, N. M. and Javadian, E. A. and Mohebali, M. and Hajjaran, H. and Zare, Z. and Mohtarami, F. and Rassi, Y.",,,,,,,,,
Otranto,2017,"Otranto, D. and Napoli, E. and Latrofa, M. S. and Annoscia, G. and Tarallo, V. D. and Greco, G. and Lorusso, E. and Gulotta, L. and Falsone, L. and Basano, F. S. and Pennisi, M. G. and Deuster, K. and Capelli, G. and Dantas-Torres, F. and Brianti, E.", E.,,,,,,,,
Otranto,Na,"Otranto, D. and Testini, G. and Dantas-Torres, F. and Latrofa, M. S. and Diniz, Ppvdp and de Caprariis, D. and Lia, R. P. and Mencke, N. and Stanneck, D. and Capelli, G. and Breitschwerdt, E. B.",,,,,,,,,
Otterstatter,2008,"Otterstatter, M. C. and Thomson, J. D.",,,,,,,,,
Oura,2003,"Oura, C. A. L. and Odongo, D. O. and Lubega, G. W. and Spooner, P. R. and Tait, A. and Bishop, R. P.",,,,,,,,,
Owens,2001,"Owens, S. D. and Oakley, D. A. and Marryott, K. and Hatchett, W. and Walton, R. and Nolan, T. J. and Newton, A. and Steurer, F. and Schantz, P. and Giger, U.",,,,,,,,,
Oyieke,2003,"Oyieke, F. A.",,,,,,,,,
Ozbel,2000,"Ozbel, Y. and Oskam, L. and Ozensoy, S. and Turgay, N. and Alkan, M. Z. and Jaffe, C. L. and Ozcel, M. A.",,,,,,,,,
Padilla,2002,"Padilla, A. M. and Marco, J. D. and Diosque, P. and Segura, M. A. and Mora, M. C. and Fern and ez, M. M. and Malchiodi, E. L. and Basombrio, M. A.",,,,,,,,,
Paige,2002,"Paige, C. F. and Scholl, D. T. and Truman, R. W.",,,,,,,,,
