First,Year,Authors,,,,,,,,,
Carlson,2013,"Carlson, J. S. and Martinez-Gomez, J. E. and Valkiunas, G. and Loiseau, C. and Bell, D. A. and Sehgal, R. N. M.",,,,,,,,,
Carnevali,2017,"Carnevali, V. and Nogueda-Torres, B. and Villagran-Herrera, M. E. and De Diego-Cabrera, J. A. and Rocha-Chavez, G. and Martinez-Ibarra, J. A.",,,,,,,,,
Carreira,2012,"Carreira, J. C. A. and da Silva, A. V. M. and Pereira, D. D. and Brazil, R. P.",,,,,,,,,
Carslake,2017,"Carslake, R. J. and Hill, K. E. and Sjol and er, K. and Hii, S. F. and Prattley, D. and Acke, E.",,,,,,,,,
Carvalho,2015,"Carvalho, F. S. and Wenceslau, A. A. and Albuquerque, G. R. and Munhoz, A. D. and Gross, E. and Carneiro, P. L. S. and Oliveira, H. C. and Rocha, J. M. and Santos, I. A. and Rezende, R. P.",,,,,,,,,
Cassini,2013,"Cassini, R. and Signorini, M. and di Regalbono, A. F. and Natale, A. and Montarsi, F. and Zanaica, M. and Brichese, M. and Simonato, G. and Borgato, S. and Babiker, A. and Pietrobelli, M.",,,,,,,,,
Castillo-Neyra,2015,"Castillo-Neyra, R. and Chu, L. C. and Quispe-Machaca, V. and Ancca-Juarez, J. and Chavez, F. S. M. and Mazuelos, M. B. and Naquira, C. and Bern, C. and Gilman, R. H. and Levy, M. Z.",,,,,,,,,
Castro,2007,"Castro, E. A. and Thomaz-Soccoi, V. and Augur, C. and Luz, E.",,,,,,,,,
Castro,2019,"Castro, J. C. and Bueno, L. L. and Milagres, T. F. and Rego, F. D. and Gontijo, C. M. F. and Peconick, A. P. and Andrade, A. J. and Barcante, T. A. and Barcante, J. M. P.",,,,,,,,,
Catarino,2001,"Catarino, L. M. and Serrano, M. G. and Cavazzana, M. and Almeida, M. L. and Kaneshina, E. K. and Campaner, M. and Jankevicius, J. V. and Teixeira, M. M. G. and Itow-Jankevicius, S.",,,,,,,,,
Cavigli,2016,"Cavigli, I. and Daughenbaugh, K. F. and Martin, M. and Lerch, M. and Banner, K. and Garcia, E. and Brutscher, L. M. and Flenniken, M. L.",,,,,,,,,
Ceballos,2006,"Ceballos, L. A. and Cardinal, M. V. and Vazquez-Prokopec, G. M. and Lauricella, M. A. and Orozco, M. M. and Cortinas, R. and Schijman, A. G. and Levin, M. J. and Kitron, U. and Gurtler, R. E.",,,,,,,,,
Ceballos,2005,"Ceballos, L. A. and Vazquez-Prokopec, G. M. and Cardinal, V. M. and Orozco, M. M. and Cortinas, R. and Kitron, U. and Gurtler, R. E.",,,,,,,,,
Chagas,2018,"Chagas, E. C. D. S. and Silva, A. S. and Fé, N. F. and Ferreira, L. S. and Sampaio, V. D. S. and Terrazas, W. C. M. and Guerra, J. A. O. and Souza, R. A. F. D. and Silveira, H. and Guerra, M. D. G. V. B.",,,,,,,,,
Chargui,2009,"Chargui, N. and Haouas, N. and Gorcii, W. and Lahmar, S. and Guesmi, M. and Ben Abdelhafidh, A. and Mezhoud, H. and Babba, H.",,,,,,,,,
Chargui,2013,"Chargui, N. and Haouas, N. and Slama, D. and Gorcii, M. and Jaouadi, K. and Essabbah-Aguir, N. and Mezhoud, H. and Babba, H.",,,,,,,,,
