studies,country,Dignostic_method,Tryp_type,Year,study ID
"Entomological Studies in Itaúna, Brazil, an Area With Visceral Leishmaniasis Transmission: Fauna Survey, Natural Leishmania Infection, and Molecular Characterization of the Species Circulating in Phlebotomine Sand Flies (Diptera: Psychodidae)", Brazil , PCR ," Leishmania infantum', 'Leishmania', 'Trypanosoma ",2014,"(Lopes et al., 2014)"
"Seroprevalence and risk factors associated with visceral leishmaniasis in dogs in Jaciara, State of Mato Grosso", NA , enzyme-linked immunosorbent assay ,NA,2013,"(Lopez et al., 2013)"
Patterns of parasite prevalence and individual infection in yellow-bellied marmots, NA , NA ,Trypanosoma,2013,"(Lopez-Cespedes et al., 2013)"
Seroprevalence of Antibodies Against the Excreted Antigen Superoxide Dismutase by Trypanosoma Cruzi in Dogs From the Yucatan Peninsula (Mexico), Mexico , ELISA ,Trypanosoma,2012,"(Lopez-Cespedes et al., 2012)"
Leishmania spp. Epidemiology of Canine Leishmaniasis in the Yucatan Peninsula, Mexico ," ELISA', 'western blot "," L. infantum', 'Leishmania spp.', 'L. mexicana', 'Leishmania ",2001,"(Machila et al., 2001)"
Antibody-ELISA seroprevalence of bovine trypanosomosis in the Eastern Province of Zambia, Zambia ," enzyme-linked immunosorbent assay', 'ELISA', 'blood film', 'Giemsa-stained "," bovine trypanosomosis', 'bovine ",2012,"(Maeda et al., 2012)"
Occurrence of synanthropic triatomines (Hemiptera: Reduviidae) in the Federal District of Brazil, Brazil , NA ,Trypanosoma,2012,"(Maffey et al., 2012)"
Direct molecular identification of Trypanosoma cruzi Discrete Typing Units in domestic and peridomestic Triatoma infestans and Triatoma sordida from the Argentine Chaco, Argentina ," DTUs', 'cultures', 'PCR ",Trypanosoma,2006,"(Magallon-Gastelum et al., 2006)"
Epidemiological risk for Trypanosoma cruzi transmission by species of Phyllosoma complex in the occidental part of Mexico, Mexico , NA ," T. cruzi', 'Trypanosoma ",2017,"(Maganga et al., 2017)"
Molecular identification of trypanosome species in trypanotolerant cattle from the south of Gabon, Gabon ," polymerase chain reaction', 'PCR', 'ITS1 "," T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2002,"(Magona et al., 2002)"
Comparative evaluation of the antibody-detection ELISA technique using microplates precoated with denatured crude antigens from Trypanosoma congolense or Trypanosoma vivax, Uganda ," buffy coat ', 'enzyme-linked immunosorbent assay', 'ELISA', 'BCT "," T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2019,"(Maharana et al., 2019)"
A comparative analysis of microscopy and PCR based detection methods for Babesia and Trypanosoma infecting bovines and assessment of risk factors, NA ," microscopic', 'microscopy', 'PCR "," T. evansi', 'Trypanosoma evansi', 'bovine', 'Trypanosoma ",Na,"(Maharana et al., Na)"
"Prevalence and assessment of risk factors for haemoprotozoan infections in cattle and buffaloes of South-West Fujarat, India", India ," smears', 'microscopy', 'Giemsa stained "," Trypanosoma evansi', 'bovine', 'Trypanosoma ",2006,"(Maharjan et al., 2006)"
"Trypanosomiasis in domestic animals of Makwanpur district, Nepal", Nepal , NA ,NA,2011,"(Mahmoudv and  et al., 2011)"
"Epidemiological Aspects of Visceral Leishmaniasis in Baft District, Kerman Province, Southeast of Iran", Iran ," direct agglutination test', 'DAT', 'PCR "," Leishmania infantum', 'Leishmania ",2016,"(Maia et al., 2016)"
"Molecular detection of Leishmania infantum, filariae and Wolbachia spp. in dogs from southern Portugal", Portugal ," qPCR', 'polymerase chain reaction', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Maia et al., 2015)"
"Serological investigation of Leishmania infantum, Dirofilaria immitis and Angiostrongylus vasorum in dogs from southern Portugal", Portugal ," direct agglutination test', 'enzyme-linked immunosorbent assay "," Leishmania infantum', 'L. infantum', 'Leishmania ",2010,"(Maia et al., 2010)"
"Feline Leishmania infection in a canine leishmaniasis endemic region, Portugal"," Brazil', 'France', 'Greece', 'Israel', 'Italy', 'Palestine', 'Portugal', 'Spain ", PCR ," Leishmania infantum', 'Leishmania ",2014,"(Maia et al., 2014)"
Bacterial and protozoal agents of feline vector-borne diseases in domestic and stray cats from southern Portugal, Portugal ," polymerase chain reaction', 'PCR "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2015,"(Maia et al., 2015)"
Prevalence of Dirofilaria immitis antigen and antibodies to Leishmania infantum in cats from southern Portugal," Ireland', 'Portugal ", NA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2013,"(Majekodunmi et al., 2013)"
"A longitudinal survey of African animal trypanosomiasis in domestic cattle on the Jos Plateau, Nigeria: prevalence, distribution and risk factors"," Niger', 'Nigeria ", polymerase chain reaction ," T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma brucei brucei', 'bovine', 'Trypanosoma ",2011,"(Malele et al., 2011)"
"Multiple Trypanosoma infections are common amongst Glossina species in the new farming areas of Rufiji district, Tanzania", Tanzania ," microscope', 'polymerase chain reaction', 'PCR "," T. brucei', 'T. congolense', 'T. vivax', 'T. simiae', 'Trypanosoma ",2003,"(Malele et al., 2003)"
The use of specific and generic primers to identify trypanosome infections of wild tsetse flies in Tanzania by PCR, Tanzania , PCR ," T. godfreyi', 'Trypanosoma vivax', 'Trypanosoma simiae', 'Trypanosoma ",2014,"(Malfi & Roulston, 2014)"
Patterns of parasite infection in bumble bees (Bombus spp.) of Northern Virginia, NA , NA ,NA,2010,"(Maloney et al., 2010)"
SEROPREVALENCE OF TRYPANOSOMA CRUZI IN RACCOONS FROM TENNESSEE, NA , NA ," T. cruzi', 'Trypanosoma ",2001,"(Maloo et al., 2001)"
Seroprevalences of vector-transmitted infections of small-holder dairy cattle in coastal Kenya, Kenya ," enzyme-linked immunosorbent assay', 'ELISA', 'IFA ",Trypanosoma,2016,"(Mamoudou et al., 2016)"
Animal trypanosomosis in clinically healthy cattle of north Cameroon: epidemiological implications, Cameroon ," buffy coat ', 'microscope "," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma ",2006,"(Mamoudou et al., 2006)"
Prevalence and incidence of bovine trypanosomosis on the Adamaoua plateau in Cameroon 10 years after the tsetse eradication campaign, Cameroon , NA ," bovine trypanosomosis', 'bovine ",1994,"(Mancianti et al., 1994)"
SEROLOGIC SURVEY FOR LEISHMANIASIS IN FREE-LIVING RED FOXES (VULPES-VULPES) IN ITALY, Italy ," ELISA', 'IFA "," Leishmania spp.', 'Leishmania ",2017,"(Manlik et al., 2017)"
Parasite infection of specific host genotypes relates to changes in prevalence in two natural populations of bumblebees, Switzerland , NA ,NA,2018,"(Manzillo et al., 2018)"
"Serological and entomological survey of canine leishmaniasis in Lampedusa island, Italy", Italy , NA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2011,"(Marcelino et al., 2011)"
Molecular detection of Leishmania braziliensis in Rattus norvegicus in an area endemic for cutaneous leishmaniasis in Brazil, Brazil ," nested PCR', 'PCR ",Leishmania,2018,"(Marenzoni et al., 2018)"
Comparison of three blood transfusion guidelines applied to 31 feline donors to minimise the risk of transfusion-transmissible infections, NA , PCR ,Leishmania,2010,"(Margonari et al., 2010)"
"Phlebotomine Sand Flies (Diptera: Psychodidae) and Leishmania Infection in Gafanhoto Park, Divinopolis, Brazil", Brazil , polymerase chain reaction ,Leishmania,2009,"(Marti et al., 2009)"
"Prevalence and distribution of parasites and pathogens of Triatominae from Argentina, with emphasis on Triatoma infestans and Triatoma virus TrV", Argentina , NA ,NA,2007,"(Martin-Sanchez et al., 2007)"
Infection by Leishmania infantum in cats: Epidemiological study in Spain, Spain ," IFAT', 'IFA', 'PCR "," Leishmania infantum', 'Leishmania ",2006,"(Martin-Sanchez et al., 2006)"
"Pool screen PCR for estimating the prevalence of Leishmania infantum infection in sandflies (Diptera : Nematocera, Phlebotomidae)", Spain ," ELISA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2014,"(Martinez-Hern and ez et al., 2014)"
"Follow up of natural infection with Trypanosoma cruzi in two mammals species, Nasua narica and Procyon lotor (Carnivora: Procyonidae): evidence of infection control?", Mexico , PCR ," T. cruzi', 'Trypanosoma ",2018,"(Martins et al., 2018)"
"Serological and molecular inquiry of Chagas disease in an Afro-descendant settlement in Mato Grosso do Sul State, Brazil", Brazil , PCR ," T. cruzi', 'Trypanosoma ",2016,"(Mascolli et al., 2016)"
"Prevalence and risk factors for leishmaniasis and Chagas disease in the canine population of the tourist city of Ibiuna, Sao Paulo, Brazil", Brazil , enzyme-linked immunosorbent assay ,NA,2002,"(Masiga et al., 2002)"
Growth and mortality in sheep and goats under high tsetse challenge in Kenya," France', 'Kenya ", NA ,Trypanosomosis,2013,"(Maslov et al., 2013)"
Diversity and phylogeny of insect trypanosomatids: all that is hidden shall be revealed, NA , PCR ,Trypanosoma,2007,"(Maslov et al., 2007)"
Discovery and barcoding by analysis of spliced leader RNA gene sequences of new isolates of trypanosomatidae from Heteroptera in Costa Rica and Ecuador," Costa Rica', 'Ecuador ", NA ,Trypanosoma,2003,"(Matete, 2003)"
"Occurrence, clinical manifestation and the epidemiological implications of naturally occurring canine trypanosomosis in western Kenya", Kenya , NA ," T. brucei', 'Trypanosoma brucei', 'Trypanosoma ",2001,"(Mattioli et al., 2001)"
Estimation of trypanosomal status by the buffy coat technique and an antibody ELISA for assessment of the impact of trypanosomosis on health and productivity of N'Dama cattle in The Gambia, Gambia ," buffy coat ', 'ELISA', 'BCT "," T. congolense', 'T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2014,"(Maziero et al., 2014)"
"Rural-urban focus of canine visceral leishmaniosis in the far western region of Santa Catarina State, Brazil"," Argentina', 'Brazil "," enzyme-linked immunosorbent assay', 'ELISA', 'IFAT', 'IFA', 'polymerase chain reaction', 'PCR ",Leishmania,2016,"(McHugh et al., 2016)"
"Parasites of fishes in the recently inundated ephemeral Lake Liambezi, Namibia", Namibia , NA ,NA,2010,"(Medina-Torres et al., 2010)"
"Risk Factors Associated with Triatomines and Its Infection with Trypanosoma cruzi in Rural Communities from the Southern Region of the State of Mexico, Mexico", Mexico , NA ,Trypanosoma,2019,"(Medkour et al., 2019)"
Potential animal reservoirs (dogs and bats) of human visceral leishmaniasis due to Leishmania infantum in French Guiana," Brazil', 'France', 'Suriname', 'Venezuela "," qPCR', 'polymerase chain reaction', 'PCR', 'ITS2 "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2019,"(Medkour et al., 2019)"
Molecular Evidence of Leishmania infantum and Leishmania guyanensis in Red Howler Monkey (Alouatta seniculus) from French Guiana, NA ," PCR', 'ITS2 "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",2014,"(Mejia-Jaramillo et al., 2014)"
Genotyping of Trypanosoma cruzi in a hyper-endemic area of Colombia reveals an overlap among domestic and sylvatic cycles of Chagas disease, Colombia ," ELISA', 'IFA', 'PCR "," T. cruzi', 'Trypanosoma ",2008,"(Mekata et al., 2008)"
Prevalence and Source of Trypanosome Infections in Field-Captured Vector Flies (Glossina pallidipes) in Southeastern Zambia, Zambia ," polymerase chain reaction', 'PCR "," T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma ",2009,"(Mekata et al., 2009)"
Molecular detection of trypanosomes in cattle in South America and genetic diversity of Trypanosoma evansi based on expression-site-associated gene 6," Bolivia', 'Peru "," polymerase chain reaction', 'PCR "," T. evansi', 'T. vivax', 'Trypanosoma evansi', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2010,"(Mekibib et al., 2010)"
"Prevalence of Haemoparasites and Associated Risk Factors in Working Donkeys in Adigudem and Kwiha Districts of Tigray Region, Northern Ethiopia", Ethiopia ," buffy coat ', 'smears', 'Giemsa stained "," Trypanosoma vivax', 'Trypanosoma ",2014,"(Mekonnen et al., 2014)"
"Epidemiology of trypanosomosis in goats in Abelti, Bede and Ghibe valley, south West Ethiopia"," Ethiopia', 'Kenya ", NA ," Trypanosoma congolense', 'Trypanosoma ",2010,"(Mekuria et al., 2010)"
"A Cross-Sectional Study of Equine Trypanosomosis and its Vectors in Wolayta Zone, Southern Ethiopia", Ethiopia ," buffy coat ', 'smears', 'Giemsa-stained "," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosomosis', 'Trypanosoma ",2011,"(Melo et al., 2011)"
Bovine Trypanosomiasis an Emerging Disease in Maranhao State-Brazil, Brazil ," polymerase chain reaction', 'PCR "," T. vivax', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2018,"(Melo et al., 2018)"
Prevalence of visceral leishmaniasis in A population of free-roaming dogs as determined by multiple sampling efforts: A longitudinal study analyzing the effectiveness of euthanasia, Brazil ," enzyme-linked immunosorbent assay', 'ELISA', 'indirect fluorescent antibody test', 'IFAT', 'IFA', 'DPP ",Leishmania,2016,"(Menail et al., 2016)"
Large pathogen screening reveals first report of Megaselia scalaris (Diptera: Phoridae) parasitizing Apis mellifera intermissa (Hymenoptera: Apidae), Algeria , NA ,Crithidia mellificae,2013,"(Mendes et al., 2013)"
Epidemiological aspects of canine Chagas disease in the semi-arid region of Paraiba, Brazil ," ELISA', 'IFA ",Trypanosoma,2015,"(Menezes et al., 2015)"
An Integrated Approach Using Spatial Analysis to Study the Risk Factors for Leishmaniasis in Area of Recent Transmission, Brazil ," ELISA', 'DPP "," Leishmania infantum', 'Leishmania ",2001,"(Merzlyak et al., 2001)"
Diversity and phylogeny of insect trypanosomatids based on small subunit rRNA genes: Polyphyly of Leptomonas and Blastocrithidia, NA , NA ,Crithidia fasciculata.,2017,"(Meyers et al., 2017)"
"Widespread Trypanosoma cruzi infection in government working dogs along the Texas-Mexico border: Discordant serology, parasite genotyping and associated vectors", Mexico ," buffy coat ', 'IFA "," T. cruzi', 'Trypanosoma ",2011,"(Michalsky et al., 2011)"
"Natural infection with Leishmania infantum chagasi in Lutzomyia (Lutzomyia) longipalpis (Diptera: Psychodidae) sandflies captured in the municipality of Janauba, State of Minas Gerais, Brazil", Brazil , PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",2007,"(Mihret & Mamo, 2007)"
Bovine Trypanosomosis in three districts of East Gojjam Zone bordering the Blue Nile River in Ethiopia, Ethiopia ," microscopic', 'smears "," T. congolense', 'T. vivax', 'Trypanosoma vivax', 'Trypanosomosis', 'bovine', 'Trypanosoma ",2018,"(Millan, 2018)"
"Molecular investigation of vector-borne parasites in wild micromammals, Barcelona (Spain)"," Algeria', 'Spain ", PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",2002,"(Mir and a et al., 2002)"
Frequency of infection of Lutzomyia phlebotomines with Leishmania braziliensis in a Brazilian endemic area as assessed by pinpoint capture and polymerase chain reaction, Brazil ," polymerase chain reaction', 'PCR ",Leishmania,2011,"(Miro et al., 2011)"
First description of naturally acquired Tritrichomonas foetus infection in a Persian cattery in Spain," Australia', 'Spain "," microscope', 'microscopy', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2007,"(Miro et al., 2007)"
A leishmaniosis surveillance system among stray dogs in the region of Madrid: ten years of serodiagnosis (1996-2006), NA , NA ," Leishmania infantum', 'Leishmania ",2011,"(Mirzaei et al., 2011)"
"Isolation and detection of Leishmania species among naturally infected Rhombomis opimus, a reservoir host of zoonotic cutaneous leishmaniasis in Turkemen Sahara, North East of Iran", Iran ," microscopic', 'PCR', 'ITS2 "," Leishmania infantum', 'L) major', 'L. major', 'Leishmania major', 'Leishmania tropica', 'L. turanica', 'Leishmania turanica', 'Leishmania ",2005,"(Mochabo et al., 2005)"
"Community perceptions of important camel diseases in Lapur Division of Turkana District, Kenya", Kenya , NA ,NA,2003,"(Moemenbellah-Fard et al., 2003)"
The PCR-based detection of Leishmania major infections in Meriones libycus (Rodentia : Muridae) from southern Iran," Iran', 'Libya "," microscope', 'smears', 'PCR', 'Giemsa-stained "," L. major', 'Leishmania major', 'Leishmania ",2005,"(Mohebali et al., 2005)"
Epidemiological aspects of canine visceral leishmaniosis in the Islamic Republic of Iran, Iran ," direct agglutination test', 'DAT "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'L. tropica', 'Leishmania ",2000,"(Molina et al., 2000)"
Seroprevalence of Trypanosoma evansi in dromedaries (Camelus dromedarius) from the Canary Islands (Spain) using an antibody Ab-ELISA, Spain ," ELISA', 'microscopic', 'smears "," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2016,"(Molina et al., 2016)"
"Trypanosomatids (Protozoa: Kinetoplastida) in three species of Armored Catfish from Mogi-Guacu river, Pirassununga, Sao Paulo, Brazil", Brazil , NA ,Trypanosoma,2007,"(Molina-Garza et al., 2007)"
"Trypanosoma cruzi in triatomines from Nuevo Leon, Mexico", Mexico ," enzyme-linked immunosorbent assay', 'ELISA', 'polymerase chain reaction', 'microscopy', 'PCR ",Trypanosoma,2003,"(Monroy et al., 2003)"
"Epidemiology of Chagas disease in Guatemala: Infection rate of Triatoma dimidiata, Triatoma nitida and Rhodnius prolixus (Hemiptera, Reduviidae) with Trypanosoma cruzi and Trypanosoma rangeli (Kinetoplastida, Trypanosomatidae)", Guatemala , NA ,Trypanosoma,2005,"(Monteiro et al., 2005)"
"Visceral leishmaniasis: a study on phlebotomine sand flies and canine infection in Montes Claros, State of Minas Gerais", Brazil , NA ,NA,2002,"(Montenegro et al., 2002)"
Chagas disease in dogs from endemic areas of Costa Rica, Costa Rica ," ELISA', 'xenodiagnosis ",NA,2019,"(Moradi-Asl et al., 2019)"
"Spatial distribution and infection rate of leishmaniasis vectors (Diptera: Psychodidae) in Ardabil Province, Northwest of Iran", Iran , microscopic ," Leishmania infantum', 'Leishmania ",2017,"(Morales et al., 2017)"
Prevalence of Trypanosoma cruzi and Other Trypanosomatids in Frequently-Hunted Wild Mammals from the Peruvian Amazon, Peru , NA ," T. cruzi', 'Trypanosoma ",2019,"(Morelli et al., 2019)"
Exposure of client-owned cats to zoonotic vector-borne pathogens: Clinic-pathological alterations and infection risk analysis, Italy , NA ,Leishmania,2014,"(Moreno et al., 2014)"
Detection of anti-Leishmania infantum antibodies in sylvatic lagomorphs from an epidemic area of Madrid using the indirect immunofluorescence antibody test, Spain ," IFAT', 'IFA "," Leishmania infantum', 'Leishmania ",2010,"(Moreno et al., 2010)"
Seroprevalence of Trypanosoma cruzi infection and vector control activities in rural communities of the southern Gran Chaco (Argentina), Argentina , ELISA ," T. cruzi', 'Trypanosoma ",2011,"(Moretti et al., 2011)"
Chagas disease in indigenous communities of the Impenetrable Chaqueno Forest, NA , NA ,NA,2019,"(Morganti et al., 2019)"
Emerging feline vector-borne pathogens in Italy, Italy ," IFAT', 'IFA', 'PCR "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2013,"(Morimoto et al., 2013)"
Molecular detection of protozoan parasites infecting Apis mellifera colonies in Japan, Japan , NA ,Crithidia mellificae,2017,"(Mossaad et al., 2017)"
Trypanosoma vivax is the second leading cause of camel trypanosomosis in Sudan after Trypanosoma evansi, Sudan ," smears', 'PCR', 'Giemsa-stained', 'MHCT "," T. evansi', 'T. vivax', 'Trypanosoma evansi', 'Trypanosoma vivax', 'Trypanosoma ",2017,"(Mossaad et al., 2017)"
The incrimination of three trypanosome species in clinically affected German shepherd dogs in Sudan," Kenya', 'Sudan "," CATT', 'PCR "," T. evansi', 'T. congolense', 'T. vivax', 'Trypanosoma congolense', 'Trypanosoma evansi', 'Trypanosoma vivax', 'Trypanosoma ",2010,"(Motazedian et al., 2010)"
"First Detection of Leishmania major in Rattus norvegicus from Fars Province, Southern Iran", Iran ," smears', 'cultures', 'polymerase chain reaction', 'microscopy', 'PCR', 'Giemsa-stained "," L. major', 'Leishmania major', 'Leishmania ",2014,"(Moudy et al., 2014)"
Factors Associated With Peridomestic Triatoma sanguisuga (Hemiptera: Reduviidae) Presence in Southeastern Louisiana, NA , enzyme-linked immunosorbent assay ," T. cruzi', 'Trypanosoma ",2017,"(Mouloua et al., 2017)"
Environmental impact on the distribution of leishmaniasis in the focus of Tizi-Ouzou (Algeria), Algeria , NA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Movilla et al., 2017)"
Molecular detection of vector-borne pathogens in blood and splenic samples from dogs with splenic disease, NA , PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Moya et al., 2017)"
"Leishmania infantum DNA detected in phlebotomine species from Puerto Iguazu City, Misiones province, Argentina", Argentina , polymerase chain reaction ," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Mrljak et al., 2017)"
Prevalence and Geographic Distribution of Vector-Borne Pathogens in Apparently Healthy Dogs in Croatia, Croatia , IFA ," Leishmania infantum', 'L. infantum', 'Leishmania ",1998,"(Msangi et al., 1998)"
Factors influencing the prevalence of trypanosome infection of Glossina pallidipes on the Ruvu flood plain of Eastern Tanzania, Tanzania , NA ," T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2017,"(Muhanguzi et al., 2017)"
African animal trypanosomiasis as a constraint to livestock health and production in Karamoja region: a detailed qualitative and quantitative assessment, Uganda , NA ," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma ",2014,"(Muhanguzi et al., 2014)"
"Prevalence and spatial distribution of Theileria parva in cattle under crop-livestock farming systems in Tororo District, Eastern Uganda", Uganda , PCR ,NA,2014,"(Muhanguzi et al., 2014)"
"The burden and spatial distribution of bovine African trypanosomes in small holder crop-livestock production systems in Tororo District, south-eastern Uganda", Uganda , NA ," Trypanosoma vivax', 'Trypanosoma brucei', 'bovine', 'Trypanosoma ",2000,"(Mukhtar et al., 2000)"
Detection of antibodies to Leishmania donovani in animals in a kala-azar endemic region in eastern Sudan: a preliminary report, Sudan ," direct agglutination test', 'DAT', 'enzyme-linked immunosorbent assay', 'ELISA ",Leishmania,2019,"(Murphy et al., 2019)"
Lineage-specific rapid diagnostic tests can resolve Trypanosoma cruzi TcII/V/VI ecological and epidemiological associations in the Argentine Chaco," Argentina', 'Bolivia ", ELISA ," T. cruzi', 'Trypanosoma ",2013,"(Murray et al., 2013)"
Pathogen prevalence in commercially reared bumble bees and evidence of spillover in conspecific populations, Ireland , NA ,NA,Na,"(N’Djetchi et al., Na)"
The study of trypanosome species circulating in domestic animals in two human African trypanosomiasis foci of Côte d'Ivoire identifies pigs and cattle as potential reservoirs of Trypanosoma brucei gambiense, NA ," microscopic', 'PCR "," T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma brucei', 'Trypanosoma brucei gambiense', 'Trypanosoma ",2011,"(Nadeem et al., 2011)"
Indirect Fluorescent Antibody Technique based Prevalence of Surra in Equines, NA ," indirect fluorescent antibody test', 'IFAT', 'smears', 'IFA', 'Giemsa stained ",NA,2011,"(Nair et al., 2011)"
"Haemoprotozoa of cattle in Northern Kerala, India", India ," smears', 'PCR "," Trypanosoma evansi', 'Trypanosoma ",2012,"(Nakayima et al., 2012)"
Molecular epidemiological studies on animal trypanosomiases in Ghana, Ghana ," PCR', 'ITS1 "," T. evansi', 'T. brucei brucei', 'T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma brucei', 'T. simiae', 'Trypanosoma ",2019,"(Nardoni et al., 2019)"
"Serological and Molecular Findings of Leishmania Infection in Healthy Donkeys (Equus asinus) from a Canine Leishmaniosis Endemic Focus in Tuscany, Italy: A Preliminary Report", Italy ," IFAT', 'IFA', 'polymerase chain reaction', 'PCR "," Leishmania infantum', 'Leishmania ",2012,"(Nardoni et al., 2012)"
Detection of Leishmania infantum by cytocentrifugation in peripheral blood from Leishmania positive PCR dogs, NA ," IFAT', 'IFA', 'PCR "," Leishmania infantum', 'Leishmania ",2011,"(Naucke et al., 2011)"
Prevalence of canine vector-borne pathogens in imported and travelling dogs in Germany and studies on the prevention of CVBD," Germany', 'Hungary', 'Italy', 'Portugal', 'Romania', 'Spain ", NA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Navea-Perez et al., 2015)"
Leishmania infantum in wild rodents: reservoirs or just irrelevant incidental hosts?, Spain ," polymerase chain reaction', 'microscopy "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania ",1999,"(Ndoutamia et al., 1999)"
"The Trypanosoma evansi infection of camel in Chad: epidemiological factors and effects on some blood components, protein and energy constituents", Chad , smears ," Trypanosoma evansi', 'Trypanosoma ",1998,"(Nejjar et al., 1998)"
Canine leishmaniasis due to Leishmania infantum MON-1 in northern Morocco, Morocco ," IFAT', 'IFA "," Leishmania infantum', 'L. infantum', 'Leishmania ",2002,"(Ngaira et al., 2002)"
Animal-level risk factors for Trypanosoma evansi infection in camels in eastern and central parts of Kenya, Kenya , NA ," T. evansi', 'Trypanosoma evansi', 'Trypanosoma ",2003,"(Ngaira et al., 2003)"
Evaluation of antigen and antibody rapid detection tests for Trypanosoma evansi infection in camels in Kenya, Kenya ," card agglutination test ', 'CATT', 'CATT/T evansi "," Trypanosoma evansi', 'Trypanosoma ",2017,"(Ngomtcho et al., 2017)"
Molecular screening of tsetse flies and cattle reveal different Trypanosoma species including T. grayi and T. theileri in northern Cameroon, Cameroon ," polymerase chain reaction', 'PCR', 'ITS1 "," T. brucei', 'T. congolense', 'T. vivax', 'Trypanosoma ",2017,"(Ngonyoka et al., 2017)"
Patterns of tsetse abundance and trypanosome infection rates among habitats of surveyed villages in Maasai steppe of northern Tanzania, Tanzania , PCR ," T. brucei', 'T. congolense', 'Trypanosoma vivax', 'Trypanosoma ",2019,"(Nguema et al., 2019)"
"Variations of Glossina sp. and trypanosome species frequency within different habitats in a sleeping sickness focus, Gabon", Gabon , NA ," T. brucei brucei', 'T. brucei', 'T. congolense', 'Trypanosoma congolense', 'Trypanosoma ",2016,"(Nguema et al., 2016)"
High Frequency of (Kinetoplastida: Trypanosomatidae) Type Among (Diptera: Glossinidae) in a Historic Trypanosoma Foci in North-Eastern Gabon: Preliminary Study, Gabon ," polymerase chain reaction', 'microscopy', 'PCR "," Trypanosoma congolense', 'Trypanosoma vivax', 'Trypanosoma brucei', 'Trypanosoma brucei gambiense', 'Trypanosoma brucei brucei', 'Trypanosoma ",2013,"(Nguyen et al., 2013)"
Seroprevalence of Trypanosoma evansi Infection in Water Buffaloes from the Mountainous Region of North Vietnam and Effectiveness of Trypanocidal Drug Treatment, Vietnam , card agglutination test  ," Trypanosoma evansi', 'Trypanosoma ",2015,"(Nguyen et al., 2015)"
"Application of crude and recombinant ELISAs and immunochromatographic test for serodiagnosis of animal trypanosomosis in the Umkhanyakude district of KwaZulu-Natal province, South Africa", South Africa , ELISA ," Trypanosoma brucei', 'Trypanosoma brucei brucei', 'Trypanosoma ",2019,"(Nichols et al., 2019)"
"Trypanosoma cruzi in a Mexican Free-Tailed Bat (Tadarida brasiliensis) in Oklahoma, USA", NA , PCR ," T. cruzi', 'Trypanosoma ",2011,"(Nimpaye et al., 2011)"
"TRYPANOSOMA VIVAX, T. CONGOLENSE ""FOREST TYPE"" AND T. SIMIAE: PREVALENCE IN DOMESTIC ANIMALS OF SLEEPING SICKNESS FOCI OF CAMEROON", Cameroon ," polymerase chain reaction', 'PCR "," T. congolense', 'Trypanosoma vivax', 'Trypanosoma ",2010,"(Njiokou et al., 2010)"
DOMESTIC ANIMALS AS POTENTIAL RESERVOIR HOSTS OF TRYPANOSOMA BRUCEI GAMBIENSE IN SLEEPING SICKNESS FOCI IN CAMEROON, Cameroon ," CATT', 'PCR "," T. brucei', 'Trypanosoma brucei', 'Trypanosoma brucei gambiense', 'Trypanosoma ",2004,"(Njiru et al., 2004)"
